校名,普通班學生數,特教班學生數,附設幼兒園學生數
竹崎高中國中部,471,21,0
永慶高中國中部,540,0,0
太保國中,396,20,0
嘉新國中,330,11,0
朴子國中,792,18,0
東石國中,731,39,0
東榮國中,204,14,0
布袋國中,128,11,0
過溝國中,252,7,0
義竹國中,452,16,0
鹿草國中,290,4,0
水上國中,498,23,0
忠和國中,382,10,0
中埔國中,461,21,0
六嘉國中,258,4,0
新港國中,"1,319",24,0
民雄國中,"1,354",46,0
大吉國中,389,29,0
溪口國中,179,10,0
大林國中,580,27,0
梅山國中,234,1,0
昇平國中,204,0,0
民和國中,141,12,0
大埔國中小,59,6,13
阿里山國中小,64,2,21
豐山實驗教育學校國中部,5,0,6
