機關,103年重大事故0件數,103年重大事故0死亡,103年重大事故0受傷,103年一般事故0件數,103年一般事故0死亡,103年一般事故0受傷,104年重大事故0件數,104年重大事故0死亡,104年重大事故0受傷,104年一般事故0件數,104年一般事故0死亡,104年一般事故0受傷,105年重大事故0件數,105年重大事故0死亡,105年重大事故0受傷,105年一般事故0件數,105年一般事故0死亡,105年一般事故0受傷
中埔分局,0,0,0,4,4,0,0,0,0,12,12,6,0,0,0,18,18,9
布袋分局,0,0,0,8,8,1,0,0,0,7,8,4,0,0,0,6,7,0
朴子分局,0,0,0,8,9,3,0,0,0,12,12,5,0,0,0,8,8,6
水上分局,0,0,0,22,22,9,0,0,0,21,21,8,0,0,0,20,20,8
民雄分局,1,3,0,20,20,13,0,0,0,16,16,1,0,0,0,12,12,1
竹崎分局,0,0,0,3,3,1,0,0,0,5,5,1,0,0,0,7,7,2
