名稱,面積(公頃),行政轄區,座標
布袋鹽田重要濕地,722,嘉義縣布袋鎮,"23°21'36""N , 120°09'35""E"
朴子溪河口重要濕地,4882,嘉義縣東石鄉、布袋鎮,"120°07'02""E, 23°25'02""N"
嘉南埤圳濕地,195,嘉義縣、台南縣,"23°12'38""N , 120°23'07""E"
八掌溪口重要濕地,628,嘉義縣布袋鎮、臺南縣北門鄉,"23°19'35""N , 120°07'00""E"
好美寮重要濕地,959,嘉義縣布袋鎮,"23°22'01""N , 120°07'49""E"
鰲鼓重要濕地,512,嘉義縣東石鄉,"?23°30'19""N , 120°07'03""E"
