產品,產區
高山茶,梅山、竹崎、番路、阿里山
甜柿,梅山、竹崎、番路
高接梨,竹崎、民雄
番石榴,竹崎、民雄、中埔、水上、新港
竹筍,大埔、阿里山、竹崎、梅山、大林
葡萄柚,中埔、竹崎、番路
牡蠣,東石、布袋
荔枝,中埔、竹崎、番路
愛玉子,梅山、竹崎、番路、阿里山
鳳梨,民雄、竹崎、大林、中埔
西瓜,義竹、鹿草、六腳、新港、布袋
木瓜,大埔、中埔
波羅蜜,竹崎
破布子,大埔
金針,瑞里、太和、阿里山、竹崎
龍眼,竹崎、番路、梅山、中埔
花生,六腳、朴子
小蕃茄,太保、朴子、東石、民雄、新港、六腳、溪口
香蕉,中埔、番路、竹崎
椪柑,竹崎、梅山、番路、大林、中埔
柳丁,竹崎、梅山、番路、大林
文旦柚,竹崎、番路、民雄、中埔
白柚,竹崎、番路
茂谷柑,竹崎、梅山
改良種芒果,番路、水上、中埔、義竹
蓮霧,梅山
梅,阿里山、番路、梅山
梨,竹崎、民雄
棗,竹崎、中埔
