 單　　位　　別 ,,0-2時,2-4時,4-6時,6-8時,8-10時,10-12時,12-14時,14-16時,16-18時,18-20時,20-22時,22-24時
,,,,,,,,,,,,,
中埔分局,,1,0,1,1,1,3,0,0,2,3,0,0
布袋分局,,0,0,0,0,1,1,1,1,1,2,0,0
朴子分局,,0,1,0,0,0,1,2,1,2,3,0,2
水上分局,,0,1,1,2,4,1,2,1,2,5,2,0
民雄分局,,0,0,2,6,1,1,0,0,1,4,1,0
竹崎分局,,0,0,0,2,0,0,0,1,0,1,0,1
,,,,,,,,,,,,,
