單位,移送法辦案件(呼氣0.25mg/L以上),違規案件(呼氣0.15mg/L以上未達0.25mg/L),拒測案件-單純拒測(經觀察無不能安全駕駛情形),拒測案件-拒測後移送法辦(再次詢問後，同意吐氣檢測),拒測案件-拒測後移送法辦(再次詢問仍不配合吐氣檢測，依程序強制抽血),行經路檢點，不依指示停車接受稽查,合計
民雄分局,622,95,17,0,1,3,738
朴子分局,176,29,6,1,1,0,213
布袋分局,226,57,1,0,0,0,284
水上分局,313,5,0,0,0,0,318
中埔分局,261,41,5,0,0,0,307
竹崎分局,181,32,1,0,0,0,214
保安(大)隊,10,2,0,0,0,0,12
交通(大)隊,58,18,1,0,0,0,77
