機關,104年重大事故-件數,104年重大事故-死亡,104年重大事故-受傷,104年一般事故-件數,104年一般事故-死亡,104年一般事故-受傷,105年重大事故-件數,105年重大事故-死亡,105年重大事故-受傷,105年一般事故-件數,105年一般事故-死亡,105年一般事故-受傷
中埔分局,0,0,0,782,12,1013,0,0,0,709,18,933
布袋分局,0,0,0,305,8,396,0,0,0,312,7,406
朴子分局,0,0,0,1049,12,1368,0,0,0,991,8,1329
水上分局,0,0,0,1344,21,1745,0,0,0,1370,20,1797
民雄分局,0,0,0,2191,16,2947,0,0,0,2082,12,2792
竹崎分局,0,0,0,467,5,649,0,0,0,435,7,542
