103年,103年,103年,103年,104年,104年,104年,104年,105年,105年,105年,105年
警察官人員,警察官人員,簡薦委人員,簡薦委人員,警察官人員,警察官人員,簡薦委人員,簡薦委人員,警察官人員,警察官人員,簡薦委人員,簡薦委人員
屆齡退休,自願退休人數,屆齡退休,自願退休人數,屆齡退休,自願退休人數,屆齡退休,自願退休人數,屆齡退休,預計自願退休人數,屆齡退休,預計自願退休人數
1,57,0,0,3,86,0,0,4,79,0,1
