單位,移送法辦案件(呼氣0.25mg/L以上),違規案件(呼氣0.15mg/L以上未達0.25mg/L),拒測案件-單純拒測(經觀察無不能安全駕駛情形),拒測案件-拒測後移送法辦(再次詢問後，同意吐氣檢測),拒測案件-拒測後移送法辦(再次詢問仍不配合吐氣檢測，依程序強制抽血),行經路檢點，不依指示停車接受稽查,合計
民雄分局,493,85,10,0,0,7,595
朴子分局,222,31,6,0,0,0,259
布袋分局,123,33,0,0,0,1,157
水上分局,265,7,0,0,0,0,272
中埔分局,200,26,2,0,0,0,228
竹崎分局,169,27,9,0,0,1,206
保安(大)隊,14,1,3,0,0,0,18
交通(大)隊,57,17,2,0,0,0,76
