鄉鎮市區 ,路線路名,路線樁號及起迄地名,管制通行措施,路況概述,提報單位
竹崎鄉 阿里山鄉,169線,16K+400~21K+540 奮起湖~石桌,,山區道路連續彎道不利會車,公路總局第五區養護工程處 嘉義縣政府
番路鄉 大埔鄉 阿里山鄉,嘉129線,0k~34k+548 龍美~石狹內,,山區道路狹窄，不利會車，有急彎,嘉義縣政府
